question,answer,audience,category,tags
"How can I view chatbot usage analytics and user reports?","As an admin, you can access comprehensive chatbot analytics and user reports through the Admin Dashboard. Navigate to the Analytics section where you'll find: 1) Usage Metrics - Total queries, active users, peak usage times, queries per user, and session duration statistics. 2) User Reports - Individual user activity, query history, most active users, and user engagement patterns. 3) Query Analytics - Most common questions, query categories, response times, and success rates. 4) Performance Metrics - System uptime, API response times, error rates, and throughput statistics. 5) Export Options - Download reports in CSV/PDF format for further analysis. The dashboard provides real-time data visualization with charts and graphs, and you can filter reports by date range, user role, or query type. For detailed analytics API access or custom reports, contact the development team.","admin","Analytics","analytics,reports,usage metrics,user activity,dashboard"
"How do I manage and update the chatbot knowledge base?","Admin users can manage the chatbot knowledge base through the Knowledge Management section in the Admin Dashboard. Key features include: 1) CSV Q&A Management - Upload, edit, or delete CSV files containing question-answer pairs. Use the 'Insert CSV to MongoDB' script to add new Q&A data. 2) Document Management - Upload PDFs, Word documents, or text files to be processed and indexed. Documents are automatically chunked and embedded for semantic search. 3) Content Editing - Edit existing Q&A pairs, update answers, modify categories, tags, and audience settings (public/employee/admin). 4) Version Control - Track changes, view edit history, and revert to previous versions if needed. 5) Bulk Operations - Import/export knowledge base content, bulk update tags or categories. 6) Ingestion Jobs - Monitor document processing status, view ingestion logs, and manage indexing jobs. Always test changes in a staging environment before deploying to production. For advanced knowledge base management, refer to the Admin Knowledge Base documentation.","admin","Knowledge Management","knowledge base,CSV,documents,ingestion,Q&A management"
"How can I manage users, roles, and permissions?","User management is available through the Admin Dashboard's User Management section. Admins can: 1) View All Users - See complete list of registered users with details like email, role, employee ID, registration date, and last login. 2) Role Management - Assign or change user roles (client, employee, admin). Roles determine access levels and chatbot content visibility. 3) User Status - Activate, deactivate, or suspend user accounts. Deactivated users cannot log in or access the system. 4) Permissions - Configure role-based permissions for different features (chatbot access, admin panel access, knowledge base editing, etc.). 5) Bulk Operations - Import users via CSV, export user lists, or bulk role assignments. 6) Audit Trail - View user activity logs, login history, and action history. 7) Password Management - Reset user passwords or force password changes. Always follow security best practices when managing user accounts. For advanced user management features or API access, contact the system administrator.","admin","User Management","users,roles,permissions,access control,user accounts"
"What system settings and configurations can I manage?","Admins can configure various system settings through the Admin Dashboard's System Configuration section: 1) Chatbot Settings - Configure LLM provider (OpenAI/Groq), API keys, response timeouts, max tokens, and temperature settings. 2) Embedding Settings - Configure embedding model (Cohere), chunk size, overlap, and indexing parameters. 3) Pinecone Configuration - Manage Pinecone API keys, index names, namespaces (qa, public_docs, employee_docs), and vector dimensions. 4) MongoDB Settings - Configure database connection, collection names, and data retention policies. 5) Security Settings - JWT secret keys, token expiration, CORS settings, rate limiting, and IP whitelisting. 6) Content Moderation - Enable/disable profanity filters, gibberish detection, language detection, and out-of-scope query handling. 7) Feature Flags - Toggle features like Google login, signup, advanced analytics, etc. 8) Email/SMS Settings - Configure notification channels for alerts and reports. Always backup configurations before making changes. For production changes, coordinate with the development team.","admin","System Configuration","settings,configuration,LLM,API keys,security,feature flags"
"What performance metrics and KPIs are available for the chatbot?","The Admin Dashboard provides comprehensive performance metrics and KPIs: 1) Response Metrics - Average response time, p95/p99 response times, success rate, error rate, and timeout frequency. 2) Usage KPIs - Daily/monthly active users, queries per day, peak concurrent users, and user retention rate. 3) Quality Metrics - Answer accuracy (based on user feedback), query resolution rate, fallback to LLM rate, and CSV match rate vs RAG match rate. 4) System Health - Server uptime, API availability, database connection health, Pinecone query latency, and embedding generation time. 5) Cost Metrics - API call costs (OpenAI/Groq), embedding costs (Cohere), Pinecone usage costs, and monthly infrastructure costs. 6) User Satisfaction - Average rating, positive feedback percentage, and common complaint categories. 7) Content Performance - Most/least used Q&A pairs, document usage statistics, and knowledge gap analysis. All metrics are available in real-time dashboards with historical trends. Set up alerts for critical KPIs that fall below thresholds. Export metrics for executive reporting.","admin","Performance Metrics","KPIs,metrics,performance,analytics,monitoring,response time"
"How do I manage security settings and access controls?","Security and access control management is available in the Admin Dashboard's Security section: 1) Authentication Settings - Configure JWT expiration, refresh token policies, password complexity requirements, and multi-factor authentication (MFA) settings. 2) Role-Based Access Control (RBAC) - Define permissions for each role (client, employee, admin) including chatbot access, admin panel access, knowledge base editing, user management, and analytics viewing. 3) API Security - Manage API keys, rate limiting per user/role, IP whitelisting/blacklisting, and CORS configuration. 4) Content Security - Configure content moderation filters (profanity, gibberish detection), sensitive data masking, and data retention policies. 5) Audit Logging - Enable comprehensive audit logs for user actions, system changes, and security events. Logs include timestamps, user IDs, IP addresses, and action details. 6) Session Management - Configure session timeout, concurrent session limits, and device management. 7) Data Privacy - Configure GDPR compliance settings, data anonymization, and user data export/deletion policies. Regularly review security logs and update access controls based on organizational needs. For security incidents, follow the incident response procedure.","admin","Security","security,access control,RBAC,authentication,audit logs,compliance"
"How do I monitor system health and troubleshoot issues?","System health monitoring and troubleshooting tools are available in the Admin Dashboard: 1) Health Dashboard - Real-time status of all system components including API server, MongoDB, Pinecone, embedding service, and LLM services. Color-coded indicators show healthy (green), warning (yellow), or critical (red) status. 2) Logs Viewer - Access application logs, error logs, and audit logs with filtering by severity, component, date range, or search terms. Logs are searchable and exportable. 3) Error Tracking - View recent errors, error frequency, affected users, and error stack traces. Errors are automatically categorized by type (database, API, LLM, etc.). 4) Performance Monitoring - Monitor API response times, database query performance, embedding generation time, and Pinecone query latency. Set up alerts for performance degradation. 5) Resource Usage - Track CPU, memory, disk usage, and database connection pool status. 6) Troubleshooting Tools - Test API endpoints, verify database connectivity, test Pinecone queries, and validate configuration settings. 7) Alert Configuration - Set up email/SMS alerts for critical issues, performance thresholds, or security events. For persistent issues, check logs, review recent configuration changes, and contact the development team with error details and logs.","admin","System Health","monitoring,health checks,logs,troubleshooting,alerts,errors"
"How can I export data and generate reports?","Data export and report generation features are available throughout the Admin Dashboard: 1) Analytics Export - Export usage analytics, user reports, and performance metrics in CSV, PDF, or Excel formats. Filter data by date range, user role, or query type before exporting. 2) User Data Export - Export user lists, user activity logs, and user engagement reports. Includes GDPR-compliant data export for user requests. 3) Knowledge Base Export - Export Q&A pairs, document metadata, and content in various formats for backup or migration purposes. 4) System Logs Export - Export application logs, error logs, and audit logs for analysis or compliance requirements. 5) Scheduled Reports - Configure automated reports to be generated and emailed daily, weekly, or monthly. Reports can include usage summaries, performance metrics, error summaries, and user activity. 6) Custom Reports - Use the reporting API or contact the development team for custom report generation based on specific requirements. All exports include timestamps and can be password-protected for sensitive data. Ensure compliance with data privacy regulations when exporting user data.","admin","Reports","export,reports,data export,CSV,PDF,scheduled reports"
"What are the best practices for managing the chatbot system?","Best practices for managing the chatbot system include: 1) Regular Monitoring - Check system health dashboard daily, review error logs weekly, and analyze performance metrics monthly. 2) Knowledge Base Maintenance - Regularly update Q&A content, remove outdated information, add new FAQs based on user queries, and test new content before deployment. 3) User Management - Regularly audit user accounts, remove inactive users, verify role assignments, and review access permissions quarterly. 4) Security - Regularly rotate API keys and JWT secrets, review security logs, update access controls, and conduct security audits. 5) Performance Optimization - Monitor response times, optimize frequently used queries, review and optimize document chunks, and scale resources as needed. 6) Backup & Recovery - Regularly backup knowledge base content, user data, and configurations. Test recovery procedures periodically. 7) Documentation - Maintain up-to-date documentation of configurations, customizations, and procedures. 8) User Feedback - Regularly review user feedback, analyze common issues, and improve content based on user needs. 9) Testing - Test all changes in staging environment before deploying to production. 10) Communication - Keep stakeholders informed about system updates, maintenance windows, and new features. Follow change management procedures for production deployments.","admin","Best Practices","best practices,maintenance,monitoring,security,optimization"
"How do I add or modify Q&A pairs in the knowledge base?","To add or modify Q&A pairs: 1) CSV Method (Recommended) - Prepare a CSV file with columns: question, answer, audience (public/employee/admin), category, and tags. Use the 'insert-csv-to-mongodb.js' script to upload public Q&A, 'insert-hr-csv-to-mongodb.js' for employee Q&A, or 'insert-admin-csv-to-mongodb.js' for admin Q&A. 2) Admin Dashboard - Use the Knowledge Management interface to add, edit, or delete individual Q&A pairs. Changes are saved immediately. 3) Bulk Import - Upload CSV files through the Admin Dashboard for bulk updates. The system validates data and shows import results. 4) Editing Existing Q&A - Navigate to Knowledge Management, search for the Q&A pair, click edit, modify the question or answer, update audience/category/tags, and save. 5) Version Control - All changes are tracked with timestamps and user IDs. You can view edit history and revert changes if needed. 6) Testing - After adding/modifying Q&A, test the chatbot to ensure answers are correct and properly categorized. 7) Indexing - After CSV import, Q&A pairs are automatically indexed in Pinecone for semantic search. Monitor ingestion jobs for completion. Always follow content guidelines and ensure answers are accurate, professional, and properly categorized by audience.","admin","Knowledge Management","Q&A,CSV,add,modify,edit,knowledge base"
