question,answer,audience,category,tags
"Explain Mobiloitte's leave policy for employees.","Mobiloitte follows a comprehensive leave policy designed to balance employee well-being with business continuity. Full-time employees are eligible for a structured mix of leave types including Casual Leave (CL), Sick Leave (SL), and Earned/Privilege Leave (EL/PL) as specified in their appointment letter. The standard entitlement typically includes 12 days of Casual Leave, 12 days of Sick Leave, and 15-20 days of Earned Leave per calendar year, subject to role and tenure. All planned leaves must be applied in advance through the HRMS portal or attendance system and require approval from the reporting manager. Unplanned or emergency leaves (medical emergencies, family emergencies, or urgent personal situations) should be communicated to the manager and HR immediately via phone or email, followed by formal application within 48 hours. Leave applications can be tracked in real-time through the employee self-service portal. Unused Earned Leave can be carried forward to the next year (up to a maximum limit) or encashed as per company policy, while Casual Leave and Sick Leave typically lapse at the end of the calendar year if unused.","employee","HR Policy","leave policy,leaves,hr,employee benefits"
"What types of leaves are available (casual, sick, earned)?","Mobiloitte provides employees with multiple leave types to address different needs: 1) Casual Leave (CL) - Typically 12 days per year for short-term personal needs, family events, or minor emergencies. This leave does not require medical certificates and can be taken in half-day or full-day increments. 2) Sick Leave (SL) - Usually 12 days annually for illness, medical appointments, or health-related issues. Medical certificates may be required for leaves exceeding 3 consecutive days. 3) Earned/Privilege Leave (EL/PL) - Generally 15-20 days per year (accrued monthly) for planned vacations, longer personal commitments, or extended breaks. This leave accrues based on completed months of service and can be taken in blocks. 4) Maternity/Paternity Leave - As per statutory requirements (typically 26 weeks for maternity, 15 days for paternity). 5) Compensatory Off (Comp Off) - Granted for working on holidays or beyond standard hours, subject to manager approval. 6) Bereavement Leave - Usually 3-5 days for immediate family members. The exact entitlement varies by role, location, and employment terms. Unused Earned Leave can be carried forward (typically up to 30 days) or encashed, while Casual and Sick Leave lapse at year-end if unused.","employee","HR Policy","leave types,casual leave,sick leave,earned leave,privilege leave,maternity,paternity"
"What are the standard working hours and attendance rules?","Mobiloitte follows standard working hours typically from 9:00 AM to 6:00 PM (9 hours including a 1-hour lunch break) on working days, though specific timings may vary by project, client requirements, or location. Flexible working hours may be available for certain roles with prior manager approval. Employees are required to mark attendance daily using the prescribed system - biometric devices at office locations, or web portal/mobile app for remote/hybrid work. In-time and out-time must be recorded accurately. Late arrival beyond the grace period (typically 15 minutes) is considered late coming and may require manager approval or compensatory work. Early departure requires prior permission. Regular attendance is mandatory, and unapproved absences can result in salary deduction, performance impact, or disciplinary action. Work-from-home (WFH) arrangements are available subject to project requirements and manager approval, with attendance marked through the online portal. Shift allowances may apply for employees working in different time zones or night shifts. Attendance reports are accessible through the employee self-service portal, and discrepancies should be reported to HR within 48 hours.","employee","Attendance","working hours,attendance,shift,office timing,WFH,flexible hours"
"How does payroll processing and salary credit work?","Mobiloitte processes payroll on a monthly cycle with salary credit typically occurring on the last working day of each month (or the 1st of the following month) to the employee's registered bank account via NEFT/RTGS. The exact credit date may vary due to weekends or bank holidays, in which case salary is credited on the preceding working day. The payroll includes basic salary, allowances (HRA, transport, medical, special allowances), performance incentives, and statutory components. Deductions are applied for Provident Fund (PF) - 12% of basic salary (employee contribution), Employee State Insurance (ESI) - if applicable based on salary threshold, Tax Deducted at Source (TDS) as per Income Tax Act, Professional Tax (state-specific), and any unpaid leave or advance recoveries. The Cost to Company (CTC) structure is detailed in the offer letter, and employees can view their complete salary breakdown, payslips, Form 16, and deduction statements through the HRMS/payroll portal. Payslips are typically available by the 5th of each month. For payroll queries, discrepancies, or tax-related questions, employees can contact the HR/Payroll team via email or raise a ticket through the helpdesk portal. Salary revisions, bonuses, and increments are processed as per the annual appraisal cycle and company policy.","employee","Payroll","payroll,salary,ctc,payslip,PF,ESI,TDS,tax,deduction,bank credit"
"Share the official holiday and weekly-off policy.","Mobiloitte publishes the official holiday calendar at the beginning of each calendar year (typically in January) through HR communications and the employee portal. The holiday list includes National Holidays (Republic Day, Independence Day, Gandhi Jayanti), Regional/Festival Holidays (Diwali, Holi, Eid, Christmas, regional festivals based on location), and Company-Specific Holidays. Typically, employees are entitled to 10-12 public holidays per year. Weekly-offs are usually Saturdays and Sundays, though project-specific requirements may involve staggered weekly-offs (e.g., Sunday + one weekday) or rotational offs for support functions. Employees working on official holidays or weekly-offs are eligible for Compensatory Off (Comp Off) or overtime compensation as per company policy and manager approval. The holiday calendar is location-specific, and employees should refer to their local HR team for region-specific holidays. Any changes or additional holidays are communicated through official HR channels. Employees are expected to plan their leaves considering the holiday calendar to optimize their time off.","employee","Holiday","holiday calendar,weekly off,festivals,national holidays,comp off,public holidays"
"How can I contact HR for support?","Employees can reach the HR team through multiple channels: 1) HR Helpdesk Email - The official HR helpdesk email (typically hr@mobiloitte.com or hr-helpdesk@mobiloitte.com) for general queries, leave applications, document requests, and policy clarifications. 2) HRMS Portal - Self-service portal for leave applications, attendance marking, payslip downloads, and document management. 3) Phone/Extension - Direct phone numbers or internal extensions shared during onboarding for urgent matters. 4) Internal Communication Channels - Microsoft Teams, Slack, or company intranet for quick queries. 5) HR Representatives - Direct contact with assigned HR Business Partner or People Partner for role-specific or sensitive matters. 6) Helpdesk Ticketing System - Online ticketing portal for tracking and resolving HR-related issues. For leave, attendance, payroll, documents, policy clarifications, or any HR-related support, employees should provide clear details including employee ID, department, and nature of query for faster resolution. Urgent or sensitive matters (medical emergencies, harassment concerns, etc.) can be escalated directly to senior HR leadership. Response times are typically within 24-48 hours for standard queries.","employee","HR Contact","hr contact,helpdesk,support,hr email,people partner,hrms portal"
"What is my leave balance?","Your leave balance can be checked in real-time through the HRMS employee self-service portal. Log in with your employee credentials and navigate to the 'Leave Balance' or 'My Leaves' section. The portal displays your current balance for Casual Leave (CL), Sick Leave (SL), and Earned/Privilege Leave (EL/PL), along with used leaves, pending applications, and available balance. The balance is updated automatically after leave approvals or cancellations. You can also view leave history, upcoming approved leaves, and leave accrual details. For detailed breakdown or if you notice any discrepancies, contact the HR team via email or helpdesk with your employee ID. Leave balances are typically reset at the beginning of each calendar year, with Earned Leave carry-forward processed automatically as per company policy.","employee","HR Policy","leave balance,leave query,hrms,self service"
"How do I apply for leave?","To apply for leave, log in to the HRMS portal using your employee credentials. Navigate to the 'Leave Application' or 'Apply Leave' section. Select the leave type (Casual/Sick/Earned), choose the start and end dates, specify half-day or full-day, and provide a reason for the leave. The application will be routed to your reporting manager for approval. You can track the status of your application in real-time through the portal. For planned leaves, apply at least 3-5 days in advance to ensure timely approval. For emergency leaves, inform your manager immediately via phone/email and submit the application within 48 hours. Once approved, you'll receive a confirmation notification, and the leave will be reflected in your attendance and leave balance. You can also cancel or modify pending leave applications through the portal. For assistance with leave applications, contact HR helpdesk.","employee","HR Policy","leave application,apply leave,hrms,leave request"
"What is the work-from-home policy?","Mobiloitte offers flexible work-from-home (WFH) arrangements subject to project requirements, client needs, and manager approval. Employees can request WFH through the HRMS portal or by directly coordinating with their reporting manager. WFH eligibility depends on role, project nature, and business requirements. For regular WFH, employees must mark attendance through the online portal and maintain productivity standards. Hybrid work models (combination of office and WFH) are available for eligible roles. WFH guidelines include maintaining a professional workspace, ensuring reliable internet connectivity, attending virtual meetings, and adhering to project timelines. WFH requests should be submitted in advance, and approval is at the manager's discretion based on business needs. Some roles may require mandatory office presence on specific days. For WFH policy details specific to your role or project, contact your manager or HR representative.","employee","Attendance","work from home,WFH,hybrid work,remote work,flexible work"
"What are the salary components and CTC structure?","Mobiloitte's salary structure typically includes: 1) Basic Salary - Fixed component (usually 40-50% of CTC), forms the base for PF and gratuity calculations. 2) House Rent Allowance (HRA) - Tax-exempt up to certain limits if rent is paid. 3) Transport Allowance - For commuting expenses. 4) Medical Allowance - For health-related expenses. 5) Special Allowances - Variable component to optimize tax benefits. 6) Performance Incentives - Variable pay based on individual and company performance. The Cost to Company (CTC) includes all these components plus employer contributions to PF (12% of basic), ESI (if applicable), gratuity, and other benefits. The exact structure varies by role, experience, and location. Your detailed CTC breakdown is provided in the offer letter, and you can view your monthly salary components in the payslip through the HRMS portal. For CTC-related queries or clarifications, contact HR or refer to your appointment letter.","employee","Payroll","salary components,CTC structure,HRA,basic salary,allowances,incentives"
